Summary,Issue key,Issue id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project lead id,Project description,Project url,Priority,Resolution,Assignee,Assignee Id,Reporter,Reporter Id,Creator,Creator Id,Created,Updated,Last Viewed,Resolved,Components,Due date,Votes,Labels,Description,Environment,Watchers,Watchers,Watchers,Watchers Id,Watchers Id,Watchers Id,Original estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Attachment,Custom field (Affected services),Custom field (Allocation),Custom field (App Version),Custom field (Approvals),Custom field (Atlas project key),Custom field (Atlas project status),Custom field (Category),Custom field (Category),Custom field (Countermeasure),Custom field (Custom1),Custom field (Date),Custom field (Defect Group),Custom field (Department_whom ),Custom field (Design),Custom field (Development),Custom field (Epic Color),Custom field (Epic Name),Custom field (Epic Status),Custom field (Failure location),Custom field (Gating Stage),Custom field (Issue color),Custom field (Location),Custom field (Locked forms),Custom field (Model),Custom field (Open forms),Custom field (Opportunity value),Custom field (Parts number),Custom field (Progress),Custom field (QE),Custom field (RD Analysis),Custom field (Rank),Custom field (Recovery Method),Custom field (Request Type),Custom field (Request language),Custom field (Request participants),Custom field (Resolve Date),Custom field (Resolver),Custom field (Rework Request form),Satisfaction rating,Custom field (Satisfaction date),Custom field (Serial Number),Custom field (Severity),Custom field (Software Version),Custom field (Stage),Custom field (Start date),Custom field (Status),Custom field (Story Points),Custom field (Story point estimate),Custom field (Submitted forms),Custom field (Target end),Custom field (Target start),Custom field (Team),Custom field (Total forms),Custom field (VendorCR),Custom field (Vulnerability),Custom field ([CHART] Date of First Response),Custom field ([CHART] Time in Status),Custom field (responsible),Custom field (uuid),Comment,Comment,Comment,Comment,Status Category,Status Category Changed
"[XG32WCMS] ELMB与ELMB SYNC功能开启, PIP/PBP功能没有被禁用，与OSDtree定义不符",MONMTK-742,125081,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,,stan_chang,61825a23702bd0006a50d648,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,20/Mar/24 1:45 PM,20/Mar/24 1:46 PM,20/Mar/24 6:10 PM,,XG32WCMS,,0,,"現象：ELMB与ELMB SYNC功能开启, PIP/PBP功能没有被禁用，与OSDtree定义不符

請參考附件，ELMB與ELMB Sync開啟後，PIPPBP應該被反灰",,Jason Huang,,,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,20/Mar/24 1:45 PM;jason.huang;RE XG32WCMS Open FW tracking issues review_Meeting Minutes.msg;https://amtran.atlassian.net/rest/api/3/attachment/content/110772,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@4fbf9e10,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0c4i7:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-276,,,,,,,,,,To Do,20/Mar/24 1:45 PM
[OSD] Free sync on 时，HDR default 错误,MONMTK-741,125074,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,,stan_chang,61825a23702bd0006a50d648,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,20/Mar/24 12:05 PM,20/Mar/24 12:05 PM,20/Mar/24 6:10 PM,,XG32WCMS,,0,,"現象：[OSD] Free sync on 时，HDR default 错误

客戶定義Spec，在FreeSync On的時候要顯示 Console HDR，Off的時候要顯示Gaming HDR",,Jason Huang,,,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,20/Mar/24 12:04 PM;jason.huang;image-20240318-052054.png;https://amtran.atlassian.net/rest/api/3/attachment/content/110766,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@65439dc7,,,,,,,,,,,,,,,,,,,,,,,,,,,0|i0c4gn:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-420,,,,,,,,,,To Do,20/Mar/24 12:05 PM
[XG32WCMS] MNT在Power Saving Mode，不會auto detect切換DP source並喚醒,MONMTK-740,125047,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,A,,stan_chang,61825a23702bd0006a50d648,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,20/Mar/24 10:23 AM,20/Mar/24 3:23 PM,20/Mar/24 6:10 PM,,XG32WCMS,,0,Critical,"現象：MNT在Power Saving Mode，不會auto detect切換DP source並喚醒

手法：
    1. Reset，並且將Monitro設定為Power Saving Mode
    2. HDMI 先接任意source
    3. DP接上任意source
    4. 目前仍在HDMI點亮狀態
    5. 拔掉HDMI cable
    6. MNT顯示 no signal以及橘燈
    7. DP 仍插著，但是不會Auto Detect將機台喚醒 ({color:#ff5630}NG{color})
    8. 此時按Keypad無任何反應 ({color:#ff5630}NG{color})",,Jason Huang,,,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,20/Mar/24 10:59 AM;jason.huang;DP_cannot_be_Wakeup.txt;https://amtran.atlassian.net/rest/api/3/attachment/content/110748,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@14dc08d7,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0c4an:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,,,,,,,,,,,To Do,20/Mar/24 10:23 AM
"[XG32WCMS] HDMI source 连接6800，打开然后关闭dsat软件，或者插拔HDMI source ,概率性出现满屏画异",MONMTK-739,125041,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,A,,stan_chang,61825a23702bd0006a50d648,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,20/Mar/24 9:59 AM,20/Mar/24 10:00 AM,20/Mar/24 6:10 PM,,XG32WCMS,,0,Critical,"現象：HDMI source 连接6800，打开然后关闭dsat软件，或者插拔HDMI source ,概率性出现满屏画异

手法：
    1. HDMI source連接6800
    2. 打開DSAT，操作FreeSync Sweep
    3. 關閉軟體出現畫異
    ",,Jason Huang,,,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,20/Mar/24 9:58 AM;jason.huang;d47d64e924f62bfe171ab39591168d8b.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/110734,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@ba282ac,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0c49b:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-424,,,,,,,,,,To Do,20/Mar/24 10:00 AM
[XG32WCMS]PBP子畫面閃爍。,MONMTK-738,125037,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,,stan_chang,61825a23702bd0006a50d648,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,20/Mar/24 9:44 AM,20/Mar/24 9:59 AM,20/Mar/24 6:10 PM,,XG32WCMS,,0,,"Phenomenon:
        PBP子畫面閃爍。

Setup:
        DP: RX 6600XT
        HDMI: RTX4070
        MST9U6_ASUS_XG_AmTran_20240319 source code bin

Procedures:
        [Step1]打開PBP模式。
Expected Result:
        PBP子畫面需正常顯示。

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,20/Mar/24 9:44 AM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;PBP子畫面閃爍.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/110729,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6f22fd4b,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0c48f:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,,,,,,,,,To Do,20/Mar/24 9:44 AM
[XG32WCMS] ADD2010 power sequence 錯誤,MONMTK-737,124910,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,A,Fixed,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,18/Mar/24 4:05 PM,20/Mar/24 3:04 PM,20/Mar/24 6:10 PM,20/Mar/24 3:03 PM,XG32WCMS,,0,Critical,"現象：ADD2010 power sequence 錯誤

附件圖檔有ADD2010 power on/off sequence

問題一：AC ON，SDATA沒有在BCLK之後，如圖的AC ON

問題二：DC ON，SDATA沒有在BCLK之後，MCLK也要在SDATA、LRCIN之前，如圖的DC ON

問題三：Power Setting Standard，進Standby，此時波形圖沒任何變化，如圖的PowerSettingStandard_Standby

問題四：Power Setting Power Saving，進Standby，SDATA沒有在BCLK之前，如圖的PowerSettingPowerSaving_Standby",,Jason Huang,,,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,18/Mar/24 3:53 PM;jason.huang;AC_ON.png;https://amtran.atlassian.net/rest/api/3/attachment/content/110554,18/Mar/24 3:45 PM;jason.huang;ADD2010_power_off_sequence.png;https://amtran.atlassian.net/rest/api/3/attachment/content/110557,18/Mar/24 3:45 PM;jason.huang;ADD2010_power_on_sequence.png;https://amtran.atlassian.net/rest/api/3/attachment/content/110555,18/Mar/24 3:57 PM;jason.huang;DC_ON.png;https://amtran.atlassian.net/rest/api/3/attachment/content/110556,18/Mar/24 4:02 PM;jason.huang;PowerSettingStandard_Standby.png;https://amtran.atlassian.net/rest/api/3/attachment/content/110558,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@6a11fb1e,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0c3gv:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,,,,1_*:*_1_*:*_169078902_*|*_5_*:*_1_*:*_0,,,"18/Mar/24 4:14 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;LRCIN (GPIO_A6)
SDATA (GPIO_A2)
BCLK (GPIO_A1)
MCLK (GPIO)A7",20/Mar/24 3:03 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;只要確保BCLK/MCLK頻率在Unmute前後正確即可,,,Done,20/Mar/24 3:03 PM
[XG32WCMS]Variable Refresh Rate On的狀態下，OSD選單切到Game Plus下層時，Volume下方破圖。,MONMTK-736,124899,Bug,Resolved,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,Fixed,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,Bruce Wu,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,18/Mar/24 2:53 PM,19/Mar/24 3:37 PM,19/Mar/24 6:28 PM,19/Mar/24 3:37 PM,XG32WCMS,,0,,"Phenomenon:
        Variable Refresh Rate On的狀態下，OSD選單切到Game Plus下層時，Volume下方破圖。

Setup:
        FW:014

Procedures:
        [Step1]將Variable Refresh Rate 切到On。
        [Step2]打開OSD選單，Gaming->Game Plus->FPS Counter(Volume下方破圖如附件圖)

Expected Result: 
        Volume下方破圖須修正。

*Reproduce rate: 100",,Bruce Wu,,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,,,,,,,,,,,18/Mar/24 2:54 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;Volume下方破圖.jpg;https://amtran.atlassian.net/rest/api/3/attachment/content/110535,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@90d284d,,,Software,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0c3ef:,Cannot recover even try any methods,,,,,,,,,,,,DVT,,,,,,,,,,,,,1_*:*_1_*:*_89031903_*|*_5_*:*_1_*:*_0,,,,,,,Done,19/Mar/24 3:37 PM
[XG32WCMS][VIDEO] PIP/PBP开启后，DP source 切换timing到3840*2160@50hz时画面会闪一下,MONMTK-735,124873,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,,stan_chang,61825a23702bd0006a50d648,robert.lo(TPE-SW),557058:f2adca06-f342-4e6e-82a4-107b96e95db1,robert.lo(TPE-SW),557058:f2adca06-f342-4e6e-82a4-107b96e95db1,18/Mar/24 10:22 AM,18/Mar/24 10:22 AM,20/Mar/24 6:10 PM,,XG32WCMS,,0,,"Phenomenon:

PIP/PBP开启后，DP source 切换timing3840*2160@60hz到3840*2160@50hz时画面会闪一下

DP source 切换timing1920*1080@60hz到1920*1080@50hz时画面会闪一下

Setup:

Procedures: 

請參考附件的video 

	

Expected Result: 

沒有畫異

Actual Result:



*Ratio: 1/1

*Reproduce rate: 100",,,,,,,,,,,,,,,,18/Mar/24 10:20 AM;robert.lo;XG32WCMS63-418.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/110499,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@49245081,,,Software,,,,,,,,,,,,,,,,,,,,,,,,0|i0c38n:,Cannot recover even try any methods,,,,,,,,,,Major,,PVT,,,,,,,,,,,,,,,,,,,,To Do,18/Mar/24 10:22 AM
[XG32WCMS] ELMB/ELMB sync 亮度變超暗,MONMTK-734,124832,Bug,Closed,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,A,Fixed,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,15/Mar/24 6:15 PM,20/Mar/24 3:06 PM,20/Mar/24 6:10 PM,20/Mar/24 3:06 PM,XG32WCMS,,0,Critical,"現象：ELMB/ELMB sync 亮度變超暗

手法： 
    1. 開啟ELMB/ELMB sync
    2. 亮度變超暗 ({color:#ff5630}NG{color})

備註：實驗發現是因為修改Brightness format從8bits改成10bits影響",,Bruce Wu,Jason Huang,,712020:02ee8d9f-605c-438f-99c5-a422556eb07d,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@714bc428,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0c2zj:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,,,2024-03-19 11:41:05.534,1_*:*_1_*:*_420681822_*|*_5_*:*_1_*:*_0,,,"19/Mar/24 7:41 PM;712020:02ee8d9f-605c-438f-99c5-a422556eb07d;0319E
LMB/ELMB sync 亮度還是很暗，沒有修正",20/Mar/24 3:06 PM;557058:33e8fddc-2108-410c-95ff-830c0f242236;0319 patch OK ,,,Done,20/Mar/24 3:06 PM
[XG32WCMS] PBP/PIP开启后，开启Sniper/Sniper Night Vision时，出现图标出画异,MONMTK-733,124828,Bug,Open,MONMTK,MONITOR_MTK,business,Mike.Chen(TPE-SW),557058:7b34a7dc-c2cd-48a9-8528-d687170fdac1,,,B,,stan_chang,61825a23702bd0006a50d648,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,Jason Huang,557058:33e8fddc-2108-410c-95ff-830c0f242236,15/Mar/24 3:51 PM,16/Mar/24 12:29 AM,20/Mar/24 6:10 PM,,XG32WCMS,,0,,"現象：PBP/PIP开启后，开启Sniper/Sniper Night Vision时，出现图标出画异

手法： 
    1. 开启PBP/PIP
    2. 开启Sniper/Sniper Night Vision
    3. 此時中間Sniper視窗發生畫異

期待行為：
    1. 與ASUS PM確認狀況是，開啟PXP，如果想要開啟Sniper應該要先關閉PXP後再開啟Sniper
    2. 同樣的如果已經開啟Sniper，此時想開起PXP應該要先關閉Sniper再開啟PXP
    兩者應該要互斥",,Jason Huang,,,557058:33e8fddc-2108-410c-95ff-830c0f242236,,,,,,,,,,,15/Mar/24 3:51 PM;jason.huang;2089ec3b7d39353e2eab6544a3c482c1.mp4;https://amtran.atlassian.net/rest/api/3/attachment/content/110435,,,,,,,,,,,,,,,,com.atlassian.servicedesk.plugins.approvals.internal.customfield.ApprovalsCFValue@a9e52a5,,,,,,,,,,,,,,,,PMP,,,,,,,,,,,0|i0c2yn:,Cannot recover even try any methods,,,,,,,,,,,,PVT,,,,,,,,,,https://amtran.atlassian.net/browse/XG32WCMS63-409,,,,,,,,,,To Do,15/Mar/24 3:51 PM
